creator_id,content_vertical,region,tenure_days,live_sessions_28d,avg_session_min,avg_concurrent_viewers,total_watch_time_hrs_28d,new_followers_28d,follower_base,follower_growth_rate_28d,unique_gifters_28d,diamonds_28d,repeat_gifter_rate,comments_per_session,community_guideline_strikes_90d,est_monthly_revenue_usd,days_since_last_live,R_score,F_score,M_score,RFM_score,cluster,segment,high_potential,high_potential_proba
C100000,Music & Dance,France,282,12,42.677718221088554,120.21857493511517,1026.1,159,2216,0.0718,14,385.0,0.317,38.3,0,1.92,2,3,4,2,9,3,Steady Core,1,0.5445148269253571
C100001,Cooking & Food,Spain,79,4,38.295191247372536,38.98743235366768,99.5,30,50,0.6,2,346.0,0.291,49.2,0,1.73,3,2,1,2,5,2,Rising Talent,1,0.8205330392812946
C100002,Comedy & Lifestyle,Italy,685,10,44.758559051459144,77.39336460205547,577.3,31,306,0.1013,4,1007.0,0.535,22.5,0,5.04,0,4,3,4,11,4,Star Creators,0,0.018397494358971343
C100003,Education/Talk,France,249,7,56.28490576331924,61.5597267334264,404.2,20,179,0.1117,2,343.0,0.254,27.4,0,1.72,3,2,1,2,5,1,At Risk / Dormant,0,0.036095601242422774
C100004,Gaming,UK,108,13,53.458770795156,74.14695979045882,858.8,49,163,0.3006,4,68.0,0.15,29.2,0,0.34,7,1,5,1,7,1,At Risk / Dormant,0,0.26085920267205104
C100005,Gaming,Spain,691,11,52.345444724259096,104.78112790558225,1005.5,116,4664,0.0249,21,1221.0,0.477,36.4,0,6.1,3,2,4,4,10,4,Star Creators,0,0.028232108938493195
C100006,Gaming,Italy,177,3,45.626861816398936,35.719883575365955,81.5,59,613,0.0962,5,272.0,0.535,13.2,0,1.36,8,1,1,1,3,1,At Risk / Dormant,0,0.18535544119814726
C100007,Comedy & Lifestyle,UK,659,8,62.447280209521786,57.23751723665835,476.6,96,967,0.0993,3,932.0,0.383,23.6,0,4.66,0,4,2,4,10,3,Steady Core,0,0.009896084808235034
C100008,Education/Talk,UK,194,9,33.28143703734987,94.02643841963456,469.4,42,465,0.0903,2,382.0,0.299,10.3,0,1.91,6,1,2,2,5,1,At Risk / Dormant,0,0.06477730004421964
C100009,Comedy & Lifestyle,UK,447,10,35.24226861431796,32.08798364724816,188.5,81,1528,0.053,4,522.0,0.285,23.7,0,2.61,4,2,3,2,7,1,At Risk / Dormant,0,0.05529773153896189
C100010,Gaming,UK,92,10,7.699679646494456,28.000321302352333,35.9,30,106,0.283,0,31.0,0.575,35.6,0,0.16,3,2,3,1,6,1,At Risk / Dormant,0,0.5099924047313583
C100011,Cooking & Food,France,482,9,48.30033762429301,17.208633053862894,124.7,20,134,0.1493,3,513.0,0.625,12.4,2,2.56,3,2,2,2,6,1,At Risk / Dormant,0,0.033882376006518354
C100012,Comedy & Lifestyle,Poland,58,8,38.92303071280958,42.66042619977165,221.4,12,50,0.24,2,225.0,0.149,16.0,0,1.12,0,4,2,1,7,3,Steady Core,0,0.10427009690320427
C100013,Beauty & Fashion,France,117,8,79.00408559256908,18.99407869641366,200.1,46,63,0.7302,2,351.0,0.3,13.8,0,1.76,4,2,2,2,6,2,Rising Talent,1,0.7814503736747126
C100014,Beauty & Fashion,France,49,13,28.917009623563132,34.00546352791209,213.1,89,108,0.8241,3,100.0,0.309,35.3,0,0.5,2,3,5,1,9,2,Rising Talent,1,0.8484220588160264
C100015,Beauty & Fashion,Italy,217,9,36.32867194125103,49.11035368888393,267.6,67,203,0.33,2,635.0,0.503,25.2,0,3.18,0,4,2,3,9,3,Steady Core,0,0.4194878281528277
C100016,Beauty & Fashion,Italy,206,7,43.197574304126206,50.41767569609151,254.1,92,762,0.1207,3,663.0,0.084,5.9,0,3.32,0,4,1,3,8,3,Steady Core,0,0.03531207777379087
C100017,Music & Dance,Poland,633,12,24.012950526720097,76.99063089788689,369.8,15,447,0.0336,12,1120.0,0.615,86.3,0,5.6,2,3,4,4,11,4,Star Creators,0,0.03781626778164909
C100018,Music & Dance,Italy,32,6,52.49168042064494,79.42023815797123,416.9,42,94,0.4468,1,791.0,0.319,45.9,0,3.96,19,1,1,3,5,2,Rising Talent,1,0.9114779100369189
C100019,Beauty & Fashion,Germany,305,8,35.51992148085778,47.80716401058384,226.4,66,1055,0.0626,4,649.0,0.101,70.9,0,3.24,2,3,2,3,8,3,Steady Core,0,0.1928201036440466
C100020,Education/Talk,Poland,83,6,33.48914487033218,25.598711816117255,85.7,28,153,0.183,1,207.0,0.196,48.6,0,1.03,0,4,1,1,6,3,Steady Core,0,0.14016322130931275
C100021,Gaming,Italy,143,12,63.10687125737412,14.392497756164293,181.7,18,139,0.1295,3,513.0,0.313,52.3,0,2.56,9,1,4,2,7,1,At Risk / Dormant,0,0.29520398075151744
C100022,Beauty & Fashion,Poland,26,4,21.443769231340163,68.11440898891,97.4,27,50,0.54,2,676.0,0.15,18.7,0,3.38,0,4,1,3,8,2,Rising Talent,0,0.5690486559111684
C100023,Music & Dance,France,446,9,50.86059120510332,60.425832276954296,461.0,92,1691,0.0544,4,1541.0,0.403,70.4,0,7.7,0,4,2,5,11,4,Star Creators,0,0.2725686363083194
C100024,Music & Dance,France,217,7,73.8659536820084,109.23939837852714,941.4,33,256,0.1289,9,363.0,0.184,65.6,0,1.82,2,3,1,2,6,3,Steady Core,1,0.6907430705826453
C100025,Comedy & Lifestyle,Poland,557,13,28.06077470975385,72.77159183159006,442.4,31,730,0.0425,8,363.0,0.281,6.4,0,1.82,0,4,5,2,11,4,Star Creators,0,0.00932608294028207
C100026,Beauty & Fashion,Germany,441,5,30.546710259615516,235.5070677579015,599.5,126,2372,0.0531,8,689.0,0.315,8.6,0,3.44,3,2,1,3,6,0,High-Reach Veterans,0,0.08737509049497307
C100027,Music & Dance,Germany,213,8,91.23343898770067,214.50104904623893,2609.3,26,279,0.0932,11,1321.0,0.094,75.2,0,6.6,0,4,2,4,10,0,High-Reach Veterans,1,0.5900458024891194
C100028,Education/Talk,Poland,445,8,46.32745257507494,102.0667525823601,630.5,62,364,0.1703,2,915.0,0.713,13.4,0,4.58,4,2,2,4,8,1,At Risk / Dormant,0,0.20611140056136965
C100029,Gaming,Italy,672,10,32.88844542043288,143.87984745298795,788.7,8,286,0.028,10,1526.0,0.252,26.4,0,7.63,0,4,3,5,12,4,Star Creators,0,0.010373977219153313
C100030,Education/Talk,Spain,48,5,51.743308541294894,48.54657795251089,209.3,10,50,0.2,1,135.0,0.576,38.8,0,0.68,6,1,1,1,3,1,At Risk / Dormant,0,0.3536888422088596
C100031,Beauty & Fashion,Germany,417,12,26.47859672613461,55.32371758318301,293.0,102,416,0.2452,4,1197.0,0.283,8.9,0,5.98,5,2,4,4,10,1,At Risk / Dormant,0,0.10071080497414427
C100032,Gaming,UK,529,10,13.831513365118724,172.03479701596777,396.6,113,2360,0.0479,10,209.0,0.475,25.6,0,1.04,10,1,3,1,5,1,At Risk / Dormant,0,0.02092824328648147
C100033,Cooking & Food,France,616,9,52.80618622002867,83.05222676879542,657.9,84,2238,0.0375,3,564.0,0.313,75.8,0,2.82,0,4,2,3,9,3,Steady Core,0,0.054979945473540216
